File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::DeleteOldLogFiles(size_t nKeep),29,28,16,7,0,1,1,21,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::SetLoggerModuleName(const char* loggerModuleName),2,2,2,0,0,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getLoggingState(const char* loggerModuleName),13,11,7,5,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SetLoggingState(const char* loggerModuleName, bool state)",26,23,15,4,3,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::SetErrorsAlwaysOn(bool state),5,4,3,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getIndent(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::SetIndent(int value),7,6,4,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::Indent(),5,4,3,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::IndentBy(int value),7,6,4,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::Outdent(),7,6,4,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::OutdentBy(int value),7,6,4,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::LoadColors(),9,8,7,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::SaveColors(),17,13,11,0,1,0,3,17,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::RestoreDefaultColors(),30,24,22,0,3,0,3,17,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getFGColor(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getFGColorHtml(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SetFGColor(WORD clr, const char* html)",8,7,5,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getBGColor(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::SetBGColor(WORD clr),6,5,4,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getIntsColor(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getIntsColorHtml(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SetIntsColor(WORD clr, const char* html)",7,6,4,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getStringsColor(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getStringsColorHtml(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SetStringsColor(WORD clr, const char* html)",7,6,4,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getFloatsColor(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getFloatsColorHtml(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SetFloatsColor(WORD clr, const char* html)",7,6,4,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getBoolsColor(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::getBoolsColorHtml(),5,4,3,3,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SetBoolsColor(WORD clr, const char* html)",7,6,4,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::O(const char* text, va_list list)",5,4,3,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::O(const char* text, ...)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OLn(const char* text, va_list list)",5,4,3,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OLn(const char* text, ...)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::OI(),5,4,3,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OIO(const char* text, va_list list)",6,5,4,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OIOLn(const char* text, va_list list)",6,5,4,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OLnOI(const char* text, va_list list)",6,5,4,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsoleImpl::OIb(int value),5,4,3,1,1,0,0,0,
